Date/Time,Electricity:Facility [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:HVAC [J](RunPeriod) 
January,7589075845.935639,7589075845.935639 
February,5332029765.042875,5332029765.042875 
March,3490720665.1789594,3490720665.1789594 
April,1728988121.7296221,1728988121.7296221 
May,213190520.19767964,213190520.19767964 
June,789566188.775508,789566188.775508 
July,2244845892.857111,2244845892.857111 
August,2980877403.0613527,2980877403.0613527 
September,385537621.399627,385537621.399627 
October,787613178.5465639,787613178.5465639 
November,3524309827.2150993,3524309827.2150993 
December,6963181539.115135,6963181539.115135,36029936569.06591,36029936569.06591 
